Date,Period,Y8-ASW,Y8,Y9,Y8-RECCE,Y8-EW,Y8-ELINT,Y-9 EW,H6,H-6K,JH7,J7,J10,J11,J16,SU30,KJ-500	,Z9-ASW,Z8,Mi17-Cargo,WZ-10Attack,Y8-C3,source
2020-11-06,上午,,,,,1,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77524&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b#
2020-11-10,上午,1,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77531&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-11-11,下午,1,,,1,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77539&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-11-12,上午,1,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77545&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-11-14,上午,,,,,1,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77550&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-11-15,N/A,1,,,1,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77551&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-11-16,N/A,1,,,,1,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77588&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-11-17,上午,1,,,,1,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77592&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-11-18,N/A,1,,,,1,,1,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77599&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-11-21,N/A,1,,,1,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77614&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-11-22,N/A,1,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77617&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-11-23,N/A,1,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77623&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-11-24,N/A,1,,,,1,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77633&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
2020-11-25,N/A,1,,,,,,,,,,,,,,,,,,,,,https://www.mnd.gov.tw/Publish.aspx?p=77639&title=%e5%9c%8b%e9%98%b2%e6%b6%88%e6%81%af&SelectStyle=%e5%8d%b3%e6%99%82%e8%bb%8d%e4%ba%8b%e5%8b%95%e6%85%8b
